Codigo,Cliente,Factura,Tipo,FechaFactura,TasaFact,Vencimiento,Base,IVA,IVABs,IVA25,TotalPorPagar,Observacion,25% de IVA PENDIENTE,RETENCION PENDIENTE
000436,"Farmatodo, C.A",981612,Nota de Crédito,17/01/2025,54.76,19/01/2025,-1.19,-0.16,-8.76,-2.19,-1.19,,-2.19,-6.57
000436,"Farmatodo, C.A",981652,Nota de Crédito,25/03/2025,68.3936,27/03/2025,-0.13,-0.02,-1.37,-0.34,-0.13,,-0.68,-0.68
000436,"Farmatodo, C.A",981654,Nota de Crédito,25/03/2025,68.3936,27/03/2025,-15.35,-2.46,-168.25,-42.06,0.0,,,-125.84
000436,"Farmatodo, C.A",981691,Nota de Crédito,07/05/2025,91.2113,09/05/2025,-76.96,-12.31,-1122.81,-280.7,-76.96,,-280.93,-841.88
000436,"Farmatodo, C.A",981712,Nota de Crédito,28/05/2025,95.8052,30/05/2025,-0.8,-0.13,-12.45,-3.11,-0.8,,-2.87,-9.58
002188,Profimatica C.A,981725,Nota de Crédito,10/06/2025,99.1247,10/06/2025,-360.44,-49.85,-4941.37,-1235.34,0.0,,-1235.09,-3706.27
000436,"Farmatodo, C.A",981728,Nota de Crédito,16/06/2025,101.0822,16/06/2025,-2.54,-0.41,-41.44,-10.36,-2.54,,-10.11,-31.34
000436,"Farmatodo, C.A",981729,Nota de Crédito,16/06/2025,101.0822,16/06/2025,-58.17,-9.31,-941.08,-235.27,-58.17,,-235.52,-705.55
000436,"Farmatodo, C.A",981730,Nota de Crédito,16/06/2025,101.0822,16/06/2025,-21.16,-3.39,-342.67,-85.67,-21.16,,-85.92,-256.75
003003,"Todo Baratiiico, C.A.",981736,Nota de Crédito,20/06/2025,104.5434,22/06/2025,-1.06,-0.17,-17.77,-4.44,-1.06,,-4.18,-13.59
000262,Bazar y Libreria Araira J.F.. C.A.,990309,Factura,23/06/2025,104.5434,23/09/2025,3065.28,490.44,51272.27,12818.07,3065.28,,,
000262,Bazar y Libreria Araira J.F.. C.A.,990322,Factura,25/06/2025,105.4527,23/09/2025,2417.16,43.55,4592.47,1148.12,2417.16,,,
000262,Bazar y Libreria Araira J.F.. C.A.,990324,Factura,25/06/2025,105.4527,24/08/2025,2280.0,364.8,38469.14,9617.28,499.4,,,
002414,Libreria Horizonte Lecheria C.A,990421,Factura,03/07/2025,109.7724,06/10/2025,585.01,93.6,10274.7,2568.68,585.01,,2568.67,7706.02
002414,Libreria Horizonte Lecheria C.A,990422,Factura,03/07/2025,109.7724,06/10/2025,659.1,105.46,11576.6,2894.15,359.11,,2893.6,8681.9
000436,"Farmatodo, C.A",981771,Nota de Crédito,14/07/2025,115.3279,14/07/2025,-43.23,-5.55,-640.07,-160.02,0.0,,,-479.76
000436,"Farmatodo, C.A",981772,Nota de Crédito,14/07/2025,115.3279,14/07/2025,-83.43,-6.44,-742.71,-185.68,0.0,,,-557.03
003214,"El Rincon Del Doral, C.A",990643,Factura,17/07/2025,117.4036,23/07/2025,359.04,57.45,6744.84,1686.21,0.0,,,5058.92
000177,Papeleria Esteva. C.A.,990658,Factura,17/07/2025,117.4036,20/08/2025,793.28,18.92,2221.28,555.32,0.0,,555.32,
000328,Recorca. C.A.,981778,Nota de Crédito,18/07/2025,118.2874,02/08/2025,-202.5,-32.4,-3832.51,-958.13,0.0,,,-2874.38
002123,San Miguel De Todo un Poco C.A,990670,Factura,18/07/2025,118.2874,19/10/2025,745.74,65.32,7726.53,1931.63,0.0,,,5794.9
002188,Profimatica C.A,991085,Factura,15/08/2025,135.6399,14/09/2025,42.9,6.86,930.49,232.62,0.0,,,697.19
000029,Corporacion Gran Import. C.A.,981830,Nota de Crédito,19/08/2025,136.8931,19/08/2025,-71.64,-11.46,-1568.79,-392.2,-71.64,,-392.88,-1177.28
000029,Corporacion Gran Import. C.A.,981831,Nota de Crédito,19/08/2025,136.8931,19/08/2025,-3.88,-0.62,-84.87,-21.22,-3.88,,-20.53,-64.34
000436,"Farmatodo, C.A",981827,Nota de Crédito,19/08/2025,136.8931,19/08/2025,-4.28,-0.68,-93.09,-23.27,-4.28,,-23.27,-69.82
