Fecha,Dia,USD,EUR
2025-01-01,Miercoles,51.9345,
2025-01-02,Jueves,52.0271,
2025-01-03,Viernes,52.5723,
2025-01-04,Sabado,52.5723,
2025-01-05,Domingo,52.5723,
2025-01-06,Lunes,52.5723,
2025-01-07,Martes,53.012,
2025-01-08,Miercoles,53.0704,
2025-01-09,Jueves,53.2827,
2025-01-10,Viernes,53.8522,
2025-01-11,Sabado,53.8522,
2025-01-12,Domingo,53.8522,
2025-01-13,Lunes,53.8791,
2025-01-14,Martes,53.8791,
2025-01-15,Miercoles,53.9642,
2025-01-16,Jueves,54.3694,
2025-01-17,Viernes,54.76,
2025-01-18,Sabado,54.76,
2025-01-19,Domingo,54.76,
2025-01-20,Lunes,54.9113,
2025-01-21,Martes,54.9852,
2025-01-22,Miercoles,55.2999,
2025-01-23,Jueves,55.7611,
2025-01-24,Viernes,56.283,
2025-01-25,Sabado,56.283,
2025-01-26,Domingo,56.283,
2025-01-27,Lunes,56.6522,
2025-01-28,Martes,56.8562,
2025-01-29,Miercoles,57.2974,
2025-01-30,Jueves,57.3929,
2025-01-31,Viernes,57.9666,
2025-02-01,Sabado,57.9666,
2025-02-02,Domingo,57.9666,
2025-02-03,Lunes,58.4437,
2025-02-04,Martes,58.5404,
2025-02-05,Miercoles,58.7938,
2025-02-06,Jueves,59.4605,
2025-02-07,Viernes,60.1417,
2025-02-08,Sabado,60.1417,
2025-02-09,Domingo,60.1417,
2025-02-10,Lunes,60.5211,
2025-02-11,Martes,60.5428,
2025-02-12,Miercoles,60.5428,
2025-02-13,Jueves,60.5428,
2025-02-14,Viernes,61.8227,
2025-02-15,Sabado,61.8227,
2025-02-16,Domingo,61.8227,
2025-02-17,Lunes,62.0708,
2025-02-18,Martes,62.0999,
2025-02-19,Miercoles,62.1834,
2025-02-20,Jueves,62.5107,
2025-02-21,Viernes,63.2065,
2025-02-22,Sabado,63.2065,
2025-02-23,Domingo,63.2065,
2025-02-24,Lunes,63.4139,
2025-02-25,Martes,63.4938,
2025-02-26,Miercoles,64.0191,
2025-02-27,Jueves,64.2406,
2025-02-28,Viernes,64.2464,
2025-03-01,Sabado,64.2464,
2025-03-02,Domingo,64.2464,
2025-03-03,Lunes,64.4844,
2025-03-04,Martes,64.4844,
2025-03-05,Miercoles,64.4844,
2025-03-06,Jueves,64.6116,
2025-03-07,Viernes,64.746,
2025-03-08,Sabado,64.746,
2025-03-09,Domingo,64.746,
2025-03-10,Lunes,65.2662,
2025-03-11,Martes,65.4151,
2025-03-12,Miercoles,65.6268,
2025-03-13,Jueves,66.2542,
2025-03-14,Viernes,66.4368,
2025-03-15,Sabado,66.4368,
2025-03-16,Domingo,66.4368,
2025-03-17,Lunes,66.5573,
2025-03-18,Martes,66.788,
2025-03-19,Miercoles,66.788,
2025-03-20,Jueves,67.6344,
2025-03-21,Viernes,67.8583,
2025-03-22,Sabado,67.8583,
2025-03-23,Domingo,67.8583,
2025-03-24,Lunes,68.3116,
2025-03-25,Martes,68.3936,
2025-03-26,Miercoles,68.6994,
2025-03-27,Jueves,69.0188,
2025-03-28,Viernes,69.0188,
2025-03-29,Sabado,69.0188,
2025-03-30,Domingo,69.0188,
2025-03-31,Lunes,69.5664,
2025-04-01,Martes,69.776,
2025-04-02,Miercoles,70.0141,
2025-04-03,Jueves,70.2493,
2025-04-04,Viernes,70.5852,
2025-04-05,Sabado,70.5852,
2025-04-06,Domingo,70.5852,
2025-04-07,Lunes,72.1856,
2025-04-08,Martes,73.3576,
2025-04-09,Miercoles,74.2787,
2025-04-10,Jueves,75.8025,
2025-04-11,Viernes,77.2646,
2025-04-12,Sabado,77.2646,
2025-04-13,Domingo,77.2646,
2025-04-14,Lunes,78.3635,
2025-04-15,Martes,78.5914,
2025-04-16,Miercoles,79.7844,
2025-04-17,Jueves,79.7844,
2025-04-18,Viernes,79.7844,
2025-04-19,Sabado,79.7844,
2025-04-20,Domingo,79.7844,
2025-04-21,Lunes,80.9598,
2025-04-22,Martes,81.7613,
